medicine_id,medicine_name,brand,pharmacy_names,latitudes,longitudes,total_quantity_sold
438,Cefixime,Rivaxime,"Bonaim pharmacy , KARURA CHEMIST II  TILL 8073490","-1.2062072, -1.2196352","36.89570200000001, 36.7128582",34
439,Cefixime,Bactifix,"CHARLIK PHARMACY, THE MUTHAMI  HOSPITAL ","-1.215894, -1.214086","36.88669160000001, 36.7222231",11
444,Cefixime,cefiz,"ANGELIC STAR PHARMACEUTICALS, BetahCare Family Health Clinic, Crowmed pharmaceuticals ","-1.2834847, -1.3621855","36.889222, 36.6555867",5
445,Cefixime,theofix,MEDIBLEND ,-1.282731,36.7848689,2
448,Cefixime,Gramocef,Churmad Retail Pharmacy ,-1.3319206,36.8571633,2
450,Cefixime,Theofix,"Crowmed pharmaceuticals , Disanjo Chemist , Eloc pharmacy ","-1.3621855, -1.2650867, -1.2953742","36.6555867, 36.8826178, 36.7455442",34
796,Desloratadine,Momento,Eloc pharmacy ,-1.2953742,36.7455442,10
797,Desloratadine,Desostar,"Bripamu Medical Stores, Perta Chemist","-1.3111251, -1.1079318","36.8939304, 37.016326",19
887,Diphenhydramine,"Upacof, Paediatric","Eloc pharmacy , MEDPLEX CHEMIST","-1.2953742, -1.4293031","36.7455442, 36.6872005",13
909,Ebastine,Erostin,Romac Pharmacy ,-1.2706834,36.8466657,5
1076,Gripe Water,Beta,"Apotek Pharmaceutical, MEDPLEX CHEMIST","-1.2885927, -1.4293031","36.9504001, 36.6872005",5
1077,Gripe Water,Beta,"Apotek Pharmaceutical, Drughub Pharmacy ","-1.2885927, -1.2318004","36.9504001, 36.8725528",3
1078,Gripe Water,Woodwards,KARURA CHEMIST II  TILL 8073490,-1.2196352,36.7128582,1
1150,Ibuprofen N Paracetamol,Totowell,EMIR HEALTH CENTER ,-1.266125,36.910522,1
1151,Ibuprofen plus paracetamol,Ibucap,"Crowmed pharmaceuticals , Eloc pharmacy , EMIR HEALTH CENTER , Minimall pharmacy ","-1.3621855, -1.2953742, -1.266125, -1.2075997","36.6555867, 36.7455442, 36.910522, 36.9289285",21
1211,Levocetirizine,Levofast,CARDINAL CHEMIST,-1.3958137,36.7638655,4
1249,Loratadine,Loratin Fast,"ANGELIC STAR PHARMACEUTICALS, THE MUTHAMI  HOSPITAL ","-1.2834847, -1.214086","36.889222, 36.7222231",11
1538,Paracetamol,Painil,"Campus Wellness Pharmacy , KerRan Pharma",-29.4512856,27.7206302,51
1539,Paracetamol,Paradol,"CALMAK CHEMIST , Disanjo Chemist , Jubilee-Care Chemist","-1.053931, -1.2650867, -1.1003338","38.3631399, 36.8826178, 37.0129017",96
1542,Paracetamol,Betafen,Romac Pharmacy ,-1.2706834,36.8466657,11
1543,Paracetamol,Parol,"Apotek Pharmaceutical, Genevision pharmacy, KARURA CHEMIST II  TILL 8073490","-1.2885927, -1.4532496, -1.2196352","36.9504001, 36.971792, 36.7128582",5
1544,Paracetamol,Panadol Actifast,Hellen pharma ,-1.285217,36.8316976,3
1546,Paracetamol,Betamol,"BetahCare Family Health Clinic, Eloc pharmacy , Jubilee-Care Chemist, Shine Pharmacy","-1.2953742, -1.1003338, -1.2836809","36.7455442, 37.0129017, 36.8236255",43
1547,Paracetamol,Parol,"Falcon medical clinic , Jubilee-Care Chemist",-1.1003338,37.0129017,147
1548,Paracetamol,Cetamol,"Apotek Pharmaceutical, Bonaim pharmacy , Miliecare","-1.2885927, -1.2062072","36.9504001, 36.89570200000001",25
