address,name,country,Latitude,Longitude
Bypass Road Zankutu,Mtendere Medicine Store,KENYA,-1.1937988,36.7488686
Gitrose,Gitrose Pharmacy,KENYA,-1.2552408,36.6943718
Roysambu,Pecan medical center ,KENYA,-1.2185531,36.8884166
Kasarani ,Transfern pharmacy ,KENYA,-1.2203453,36.8945136
Kasarani arcade,TYMED PHARMACY ,KENYA,-1.218034,36.8968239
KASARANI,MOBICARE PHARMACY,KENYA,-1.2181221,36.899384
Pathway ngong road ,Jimstar pharmacy ,KENYA,-1.3042811,36.7420526
Seasons Lane,Romac Pharmacy ,KENYA,-1.2706834,36.8466657
Luqmman Petrol Station Kawangware ,Blue Ocean Pharmaceuticals ,KENYA,-1.2874717,36.74187810000001
Leribe Hlotse,Bophelo Pele Pharmacy,KENYA,-28.8742772,28.048548
Kibera DC,Amanda chemist,KENYA,-1.3069521,36.7871723
Wasafiri Rd,Nyano Chemist,KENYA,-1.2765299,36.8753942
COOPERATION UTHIRU ,TIBAZONE PHARMACEUTICALS ,KENYA,-1.2894046,36.7264492
Kinoo ,Aigle pharmacy,KENYA,-1.2548543,36.6933205
Adjacent to modern butchery next to electrical world mama ngina primary ,Lynce chemist kinoo,KENYA,-1.2556842,36.6939606
Jackmil supermarket kinoo,Careland pharmacy ,KENYA,-1.2555753,36.693623
supermetro morning stage at the tunnel,KINOO PHARMACY,KENYA,-1.2513265,36.6926342
"JUJA,ALONG WAY TO GATE C",JUBILEE CHEMIST,KENYA,-1.1003338,37.0129017
"Juja,orion",Alpha prestige,KENYA,-1.1028141,37.0095957
Ruiru Biashara Ward ,Benpeny Chemist,KENYA,-1.1469238,36.9587031
"Gataka road, behind maasai mall",MERPS PHARMACY,KENYA,-1.3946438,36.7632746
Rongai,De Agaro's pharmacy ,KENYA,-1.3930215,36.76122
Kiserian,St John medical centre ,KENYA,-1.42474,36.6944977
Nalepo ,Sunvalley Medical Centre,KENYA,-1.4200965,36.7037618
Mutindwa road ,Shukran Chemist ,KENYA,-1.2868387,36.8892662
umoja one,Healstarchem PHARMACY,KENYA,-1.2841847,36.8877447
Peacock ,Hightone pharmacy ,KENYA,-1.2783164,36.8908708
Near deliverance church Umoja ,Makaja pharmacy ,KENYA,-1.2808826,36.8912832
Spine road komarock,Brown's pharmacy komarock,KENYA,-1.2769031,36.9083541
"Opposite Mystic Bakers,Off Nderi Road,Kikuyu,Kenya, Kiambu",Begat chemist,KENYA,-1.2450938,36.66344000000001
None Provided,Ridges chemist,KENYA,-1.2182594,36.899377
Kinyanjui Road Kabiro Dagoreti North,Two Drops Chemist,KENYA,-1.2919492,36.7481629
Not provided,Maina Phamarcy,KENYA,-1.2959204,36.8050647
Nairobi,West Point Pharmacy Ltd,KENYA,-1.1898673,36.8963196
"Lilongwe City Mall, Nico center.
Shop no. GF 9",Churmad Retail Pharmacy ,KENYA,-1.3319206,36.8571633
"Northagate Arcade, 
Opp. MUBAS (formerly the Polytechnic) University
Ginnery Corner
Blantyre",Liberty Pharmacy,KENYA,-15.800489,35.0262205
"209 Kabiria
Kabiria rd, Kivuli Studios",Care Point Medical Center,KENYA,-1.2907135,36.7281831
Nyakinyua road,Hobel pharmacy,KENYA,-1.2917191,36.744436
P. O Box 1125 Lilongwe Malawi,Z+Plus Pharmacy,KENYA,-13.981972,33.7682437
,Royal Pharmacy,KENYA,-1.2775228,36.8502312
Liwonde,K&A Pharmacy,KENYA,,
Kawangware,Wakwa pharmacy,KENYA,-1.2873048,36.7416265
Junction Plaza Naivasha Rd,DocLine Pharmacy,KENYA,-1.275358,36.7340013
Kawangware,Philmed pharmacy,KENYA,-1.2860961,36.7453161
Kawangware,Cleophas,KENYA,-1.2341267,36.7484265
Across St John the Baptist Catholic Church,Makel Pharmacy,KENYA,-1.2819812,36.7367403
waithaka stage,Late night Pharmacy,KENYA,-1.2810689,36.714587
Kawangware,Cetamol pharmacy,KENYA,-1.2883611,36.7431511
Kabiria,Ibiza pharmacy,KENYA,-1.2902985,36.7271387
pathenois,gladys nkirote,KENYA,-1.2604112,36.7861987
Kabiria,Wakwa pharmacy,KENYA,-1.2873048,36.7416265
waithaka,Medipark Chemist,KENYA,-1.2999611,36.8132277
Kabiria,Yeti pharmacy,KENYA,-1.2902639,36.7270145
opposite St Pathenious church,Ibiza Dispensary,KENYA,-1.2860736,36.7052765
Kabiria,Juben pharmacy,KENYA,-1.2899716,36.724668
Kabiria,Alpha pharmacy,KENYA,-1.2833329,36.7473553
Kinyanjui road,Vince chemist,KENYA,-1.2933756,36.7457588
Opposite st John the baptist church naivasha road,Halisi chemist,KENYA,-1.2807669,36.7363625
Salim road,Trina pharmacy,KENYA,-1.2859995,36.7455585
Malawi,Ziweto Enterprise,KENYA,-13.907482,33.7871197
Kihunguro,Abisham Pharmacy,KENYA,-1.2592767,36.8670398
Kinyanjui,Zappa pharmacy,KENYA,-1.2917038,36.74727420000001
Lifestyle building thogoto,Thogoto Medical Center,KENYA,-1.2656816,36.6686043
Nyakinyua road,Vinnyl pharmacy,KENYA,-1.2917191,36.744436
Kabiria,Telaviv pharmacy,KENYA,-1.2907335,36.7282532
El-Elyon Building,Beavers Pharmacy,KENYA,-1.3541617,36.6575244
Nsungwi,Blaise Pharmacy,KENYA,-1.2870053,36.8812646
Gatundu opp law court,St Claire Chemist,KENYA,-1.0133967,36.9058388
Gatundu town opposite Gate B,Mk Chemist,KENYA,-1.2161489,36.8459559
Gatundu south opp hospital gate A,Ituru Chemist,KENYA,-1.0133967,36.9058388
Kilimani,Georgiolani,KENYA,-1.2950277,36.7865919
Wood Avenue Kilimani,Dial pharmacy,KENYA,-1.2849714,36.7929833
Paris lounge mirema,Noshmed,KENYA,-1.2109062,36.887089
Lumumba Drive,Mariwa Chemist,KENYA,-1.215894,36.88669160000001
TRM DRIVE,Pecan medical center,KENYA,-1.2185531,36.8884166
Roysambu,Monet Pharmacy,KENYA,-1.2160397,36.888378
Lumumba drive,Mediera pharma limited,KENYA,-1.2167102,36.8909762
Lumumba drive,Sphere pharmacy,KENYA,-1.2159632,36.8892676
Lumumba drive,Flo Dispensing Chemist,KENYA,-1.2158392,36.8870812
Utawala,Alvamed pharmacy,KENYA,-1.2880388,36.972539
Utawala,Gelna pharmacy,KENYA,-1.2800979,36.9646119
"Utawala/Githunguri Road,Bamuri Annex",Nollan Pharmaceuticals,KENYA,,
Utawala,Portico pharmacy,KENYA,-1.2880388,36.972539
Kasarani,Andron Chemist,KENYA,-1.2185276,36.9025676
Kasarani,Thika Drug Suppliers,KENYA,-1.2182814,36.90317
Kasarani,Kasa pharmacy,KENYA,-1.2175498,36.8999314
Kasarani,Kerich pharmaceuticals,KENYA,-1.2177565,36.9010854
Kasarani,Pharmapill,KENYA,-1.2172564,36.9030657
"Kassarani, Hunters Stage",Suncop Guardian Pharmacy,KENYA,-1.2274234,36.9181524
Kasarani,Mobicare,KENYA,-1.2181221,36.899384
Kasarani Hunters opp Mawega plaza,Nelard Pharmaceuticals,KENYA,-1.2266561,36.9187202
Kasarani,Jophycare pharmacy,KENYA,-1.2185332,36.8992969
"cetamol pharmacy utawala,plot no 6845.40",Cetamol pharmacy,KENYA,-1.2883611,36.7431511
Kasarani,Taalamu pharmacy,KENYA,-1.2177184,36.8972675
Kasarani,Taalamu,KENYA,-1.2177184,36.8972675
Kasarani,Tymed pharmacy,KENYA,-1.218034,36.8968239
Catholic rd,Beceran pharmaceutical,KENYA,-1.2352466,36.9344439
Kasarani,Magik pharmacy,KENYA,-1.2174564,36.89684099999999
Kasarani,Utugi Eldad pharmacy,KENYA,-1.2193784,36.8950757
"Mwiki Center Shop, A. C. K. Road, Nairobi, Kenya 9th strt",Mwiki Modern Maternity,KENYA,-1.2374702,36.9303829
Homeland,All health chemist,KENYA,-1.2639715,36.8055808
Mwiki ACK rd Baraka appartments,Uzima bann pharmacy,KENYA,-1.2213263,36.9404267
Buruburu,Hakati pharmacy,KENYA,-1.2846338,36.879465
Buruburu,Medcoza pharmacy,KENYA,-1.2905816,36.8825463
Buruburu phase 3,Ushirika Martian chemist,KENYA,-1.2857393,36.8805009
Umoja,Doc plus pharmacy,KENYA,-1.2844719,36.8863978
Umoja,Doc plus pharmacy,KENYA,-1.2844719,36.8863978
Umoja 125419,Bahati hospital,KENYA,-1.2789745,36.8878536
Umoja,Shukran pharmacy,KENYA,-1.2868387,36.8892662
Umoja Peacock,Dawatone Pharmacy,KENYA,-1.2821462,36.8965375
Umoja,Flawless pharmacy,KENYA,-1.28446,36.8852803
Peacock Umoja,Githimu pharmacy,KENYA,-1.2779878,36.8913308
Umoja,Goldlite pharmacy,KENYA,-1.2801063,36.8994287
142,Cadah,KENYA,,
Umoja 3,Farnharm Chemist,KENYA,-1.2986394,36.8114842
Umoja,Smashchem pharmacy,KENYA,-1.2789879,36.8885698
Opp salfo house komarocks,LC Pharmacy,KENYA,-1.278083,36.9081685
Donholm,Ruby pharmacy,KENYA,-1.2771184,36.915898
Donholm,Rofam pharmacy,KENYA,-1.3032147,36.88943829999999
Kayole,Chaste Pharmacy,KENYA,-1.2778832,36.9079116
